"dim","cite","docmean.est","docmean.cilo","docmean.cihi","docmean.pval","id_nhs","ncites.for.culture"
"q.1","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",-0.0103982442702005,-0.756180911957087,0.595985764389528,0.98,"NHS-C073",11
"q.2","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",0.127957093754774,-0.710381075412155,0.99774282809012,0.8025,"NHS-C073",11
"q.3","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",0.316923841783503,-0.535728969537701,1.08608380331038,0.43875,"NHS-C073",11
"q.1","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.240993818667638,-0.386824963474284,0.833747709220287,0.4715,"NHS-C059",6
"q.2","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.163793493361214,-0.508435812485913,1.04531807178111,0.73825,"NHS-C059",6
"q.3","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.313185442979783,-0.481002049538681,1.12503213165686,0.46725,"NHS-C059",6
"q.1","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.439773601760451,-0.27228660237102,1.14395606291214,0.22625,"NHS-C059",6
"q.2","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.31294608758701,-0.580323483263858,1.17256017965493,0.5375,"NHS-C059",6
"q.3","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.481028279369649,-0.352365176555272,1.3820784854716,0.29625,"NHS-C059",6
"q.1","Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",0.487924091764055,0.357015585824509,0.640102942290646,0,"NHS-C059",6
"q.2","Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",0.279770528448786,0.0769131892842252,0.447851631019923,0,"NHS-C059",6
"q.3","Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",0.109931389200703,-0.0696524625128628,0.263321236992125,0.24775,"NHS-C059",6
"q.1","Adanson, Michel. 1759. “Voyage To Senegal, The Isle Of Goree, And The River Gambia.” London: J. Nourse [etc.].",-0.0467486816427887,-1.62900985470654,1.54275481128442,0.94375,"NHS-C048",15
"q.2","Adanson, Michel. 1759. “Voyage To Senegal, The Isle Of Goree, And The River Gambia.” London: J. Nourse [etc.].",0.212060274451131,-1.56605972456067,1.99343411033814,0.81675,"NHS-C048",15
"q.3","Adanson, Michel. 1759. “Voyage To Senegal, The Isle Of Goree, And The River Gambia.” London: J. Nourse [etc.].",-0.251009285443286,-2.08575908296779,1.56917664052644,0.7915,"NHS-C048",15
"q.1","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1950. “Bare’E-Speaking Toradja Of Central Celebes (The East Toradja): First Volume.” Verhandelingen. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij.",-0.200774378225098,-0.384224124605094,0.00869305438083951,0.0685,"NHS-C024",5
"q.2","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1950. “Bare’E-Speaking Toradja Of Central Celebes (The East Toradja): First Volume.” Verhandelingen. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij.",-0.289674205842247,-0.511957251655529,0.031855623570379,0.071,"NHS-C024",5
"q.3","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1950. “Bare’E-Speaking Toradja Of Central Celebes (The East Toradja): First Volume.” Verhandelingen. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij.",0.326455105241129,0.077286671227734,0.607480148780373,0.00124999999999997,"NHS-C024",5
"q.1","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1951. “Bare’E-Speaking Toradja Of Central Celebes (The East Toradja): Second Volume.” Verhandelingen. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij.",1.01173423383859,0.771922500625443,1.19326146249832,0,"NHS-C024",5
