"dim","cite","docmean.est","docmean.cilo","docmean.cihi","docmean.pval","id_nhs","ncites.for.culture"
"q.1","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",-0.0156093540551015,-0.722958523208659,0.734436546075137,0.96325,"NHS-C073",11
"q.2","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",0.300488341560734,-0.450399436131311,1.07004522388238,0.445166666666667,"NHS-C073",11
"q.3","Abraham, Roy Clive. 1933. “Tiv People.” Lagos: The Government Printer.",0.362639412525344,-0.518731737110969,1.20105815784424,0.418,"NHS-C073",11
"q.1","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.288303929118156,-0.357692289422252,0.972834803410512,0.3905,"NHS-C059",6
"q.2","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.277424801767921,-0.381403525189576,0.96872081871456,0.44125,"NHS-C059",6
"q.3","Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",0.438797907527747,-0.264975031897495,1.18244199708433,0.217,"NHS-C059",6
"q.1","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.575817923298787,-0.0442308937460899,1.22189248539247,0.0710833333333334,"NHS-C059",6
"q.2","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.406087275243942,-0.310340870712751,1.09218120380769,0.247083333333333,"NHS-C059",6
"q.3","Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",0.65914418264173,-0.138793623552885,1.49254245773607,0.100166666666667,"NHS-C059",6
"q.1","Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",0.516785268840637,0.373164229898302,0.670710904617431,0,"NHS-C059",6
