id_nhs,indx,songfunction,score1,score2,score3,culture,hraf_region,hraf_subregion,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nhs_region,hraf_subsistence,ncites,ncites_str,npassages
NHS-C001,2118,dance,.26648018,.99704957,-.27412716,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2120,dance,.46265021,.47856984,-.33368999,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2114,dance,.15865521,-.27099717,.35323375,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2109,dance,-.023784386,.60084373,-.15242906,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2116,other,.034278736,.2248956,-.73983467,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2113,other,-.021723626,1.0923388,-.58429921,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2111,dance,.36691436,.37637752,-.11772761,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2115,other,-.42000723,.47423971,-.81788546,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2117,dance,.21218072,-.1387504,-1.8292556,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
NHS-C001,2108,dance,.8933183,.57464331,-.88625669,Kapauku (4),Oceania,Melanesia,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,intensive agriculturalists,4,4,13
